gene,p-value-1,p-value-2,p-value-3,p-value-4,p-value-5
ADGRG1,0.049504950495,0.039603960396,0.019801980198,0.029702970297,0.019801980198
ATG4D,0.029702970297,0.00990099009901,0.049504950495,0.029702970297,0.029702970297
CCDC136,0.00990099009901,0.00990099009901,0.019801980198,0.039603960396,0.00990099009901
CCDC157,0.019801980198,0.00990099009901,0.049504950495,0.00990099009901,0.00990099009901
CORO1B,0.019801980198,0.029702970297,0.039603960396,0.019801980198,0.039603960396
DAAM2,0.039603960396,0.029702970297,0.049504950495,0.049504950495,0.029702970297
EPHA2,0.019801980198,0.039603960396,0.049504950495,0.029702970297,0.029702970297
FGGY,0.019801980198,0.019801980198,0.029702970297,0.029702970297,0.039603960396
FRYL,0.019801980198,0.029702970297,0.019801980198,0.029702970297,0.019801980198
GGA2,0.019801980198,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
GOLGA8M,0.019801980198,0.039603960396,0.039603960396,0.029702970297,0.00990099009901
GPATCH4,0.029702970297,0.029702970297,0.029702970297,0.029702970297,0.019801980198
GPR179,0.019801980198,0.00990099009901,0.019801980198,0.00990099009901,0.00990099009901
GRIN3B,0.00990099009901,0.029702970297,0.049504950495,0.00990099009901,0.019801980198
HMCN1,0.049504950495,0.019801980198,0.029702970297,0.049504950495,0.039603960396
KIAA1549,0.029702970297,0.019801980198,0.039603960396,0.00990099009901,0.019801980198
MYO7B,0.00990099009901,0.029702970297,0.029702970297,0.019801980198,0.039603960396
NLRC5,0.049504950495,0.029702970297,0.029702970297,0.019801980198,0.019801980198
PDE4DIP,0.029702970297,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
PKHD1,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
PRSS3,0.019801980198,0.019801980198,0.029702970297,0.019801980198,0.039603960396
SPATA31A3,0.049504950495,0.029702970297,0.049504950495,0.029702970297,0.019801980198
TCF25,0.00990099009901,0.039603960396,0.019801980198,0.00990099009901,0.00990099009901
TNRC6A,0.029702970297,0.039603960396,0.039603960396,0.039603960396,0.019801980198
TSHR,0.029702970297,0.019801980198,0.029702970297,0.019801980198,0.029702970297
