gene,p-value-1,p-value-2,p-value-3,p-value-4,p-value-5
ADRA1D,0.029702970297,0.029702970297,0.039603960396,0.029702970297,0.029702970297
ANKRD20A4,0.039603960396,0.00990099009901,0.029702970297,0.019801980198,0.019801980198
ANKRD36B,0.039603960396,0.00990099009901,0.049504950495,0.00990099009901,0.00990099009901
ARSD,0.019801980198,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
CASKIN1,0.019801980198,0.019801980198,0.039603960396,0.039603960396,0.029702970297
CCDC157,0.029702970297,0.049504950495,0.029702970297,0.039603960396,0.039603960396
GBGT1,0.00990099009901,0.029702970297,0.00990099009901,0.019801980198,0.049504950495
GPAM,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
MTMR4,0.039603960396,0.049504950495,0.049504950495,0.029702970297,0.039603960396
MYO7B,0.049504950495,0.049504950495,0.019801980198,0.049504950495,0.029702970297
PDE4DIP,0.019801980198,0.019801980198,0.00990099009901,0.00990099009901,0.00990099009901
PHKA2,0.049504950495,0.019801980198,0.019801980198,0.029702970297,0.029702970297
PKHD1,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
PROM2,0.019801980198,0.019801980198,0.00990099009901,0.00990099009901,0.019801980198
TENM4,0.039603960396,0.019801980198,0.029702970297,0.039603960396,0.019801980198
