gene,p-value-1,p-value-2,p-value-3,p-value-4,p-value-5
AGRN,0.029702970297,0.039603960396,0.00990099009901,0.019801980198,0.029702970297
AHNAK,0.00990099009901,0.019801980198,0.049504950495,0.029702970297,0.029702970297
ANKRD36C,0.00990099009901,0.00990099009901,0.019801980198,0.029702970297,0.029702970297
APBB3,0.00990099009901,0.019801980198,0.029702970297,0.029702970297,0.019801980198
AQP7,0.019801980198,0.00990099009901,0.029702970297,0.00990099009901,0.00990099009901
ARSD,0.00990099009901,0.029702970297,0.00990099009901,0.029702970297,0.029702970297
CCDC157,0.019801980198,0.039603960396,0.039603960396,0.019801980198,0.029702970297
CFAP157,0.019801980198,0.029702970297,0.019801980198,0.00990099009901,0.019801980198
CFAP221,0.039603960396,0.019801980198,0.019801980198,0.039603960396,0.039603960396
COL5A3,0.019801980198,0.039603960396,0.019801980198,0.039603960396,0.019801980198
DAAM2,0.019801980198,0.019801980198,0.049504950495,0.039603960396,0.049504950495
FOCAD,0.039603960396,0.049504950495,0.039603960396,0.00990099009901,0.029702970297
FUK,0.00990099009901,0.019801980198,0.039603960396,0.029702970297,0.039603960396
HYAL3,0.039603960396,0.029702970297,0.00990099009901,0.029702970297,0.029702970297
IL1RAPL1,0.029702970297,0.019801980198,0.029702970297,0.00990099009901,0.00990099009901
LY6E,0.029702970297,0.029702970297,0.049504950495,0.00990099009901,0.00990099009901
MMP10,0.039603960396,0.019801980198,0.029702970297,0.049504950495,0.00990099009901
MPHOSPH10,0.049504950495,0.029702970297,0.049504950495,0.029702970297,0.039603960396
PDE4DIP,0.019801980198,0.019801980198,0.029702970297,0.00990099009901,0.00990099009901
RBMXL1,0.029702970297,0.019801980198,0.039603960396,0.00990099009901,0.00990099009901
SPTA1,0.019801980198,0.019801980198,0.019801980198,0.039603960396,0.019801980198
TAS2R19,0.029702970297,0.049504950495,0.019801980198,0.00990099009901,0.039603960396
TMPRSS15,0.00990099009901,0.019801980198,0.019801980198,0.019801980198,0.019801980198
ZNF474,0.049504950495,0.039603960396,0.029702970297,0.019801980198,0.00990099009901
