gene,p-value-1,p-value-2,p-value-3,p-value-4,p-value-5
ABCA4,0.019801980198,0.019801980198,0.019801980198,0.049504950495,0.029702970297
AFF3,0.049504950495,0.019801980198,0.00990099009901,0.019801980198,0.039603960396
ARSD,0.019801980198,0.019801980198,0.019801980198,0.029702970297,0.019801980198
BCL9,0.049504950495,0.019801980198,0.039603960396,0.039603960396,0.049504950495
C7orf31,0.00990099009901,0.00990099009901,0.029702970297,0.00990099009901,0.00990099009901
CACNA1H,0.039603960396,0.019801980198,0.019801980198,0.029702970297,0.00990099009901
CD276,0.019801980198,0.029702970297,0.00990099009901,0.029702970297,0.00990099009901
CROCC,0.019801980198,0.029702970297,0.019801980198,0.019801980198,0.039603960396
DOCK6,0.039603960396,0.039603960396,0.049504950495,0.039603960396,0.029702970297
GGA2,0.019801980198,0.029702970297,0.029702970297,0.00990099009901,0.019801980198
HEATR5A,0.029702970297,0.00990099009901,0.00990099009901,0.019801980198,0.019801980198
HECTD4,0.029702970297,0.039603960396,0.019801980198,0.039603960396,0.029702970297
HMCN1,0.049504950495,0.039603960396,0.019801980198,0.019801980198,0.00990099009901
HORMAD1,0.019801980198,0.029702970297,0.00990099009901,0.00990099009901,0.00990099009901
IGF1R,0.029702970297,0.00990099009901,0.019801980198,0.029702970297,0.039603960396
KRT34,0.019801980198,0.019801980198,0.039603960396,0.029702970297,0.029702970297
KRT72,0.029702970297,0.019801980198,0.049504950495,0.029702970297,0.039603960396
LIG1,0.029702970297,0.019801980198,0.049504950495,0.049504950495,0.039603960396
MPHOSPH10,0.029702970297,0.019801980198,0.029702970297,0.019801980198,0.019801980198
MYH14,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901,0.00990099009901
MYO15A,0.019801980198,0.019801980198,0.00990099009901,0.00990099009901,0.019801980198
PCLO,0.019801980198,0.019801980198,0.00990099009901,0.029702970297,0.019801980198
PDE4DIP,0.019801980198,0.00990099009901,0.029702970297,0.00990099009901,0.00990099009901
PKHD1,0.029702970297,0.019801980198,0.019801980198,0.029702970297,0.019801980198
PROM2,0.029702970297,0.019801980198,0.00990099009901,0.00990099009901,0.019801980198
PRR12,0.029702970297,0.00990099009901,0.00990099009901,0.029702970297,0.029702970297
RFX8,0.049504950495,0.029702970297,0.049504950495,0.029702970297,0.039603960396
RYR3,0.019801980198,0.039603960396,0.029702970297,0.019801980198,0.039603960396
SH3PXD2B,0.049504950495,0.029702970297,0.019801980198,0.039603960396,0.00990099009901
SLCO1B3,0.019801980198,0.019801980198,0.00990099009901,0.00990099009901,0.019801980198
TCAF1,0.019801980198,0.019801980198,0.029702970297,0.029702970297,0.039603960396
TCF25,0.00990099009901,0.039603960396,0.019801980198,0.00990099009901,0.049504950495
TEP1,0.049504950495,0.029702970297,0.049504950495,0.019801980198,0.029702970297
TIAM2,0.019801980198,0.019801980198,0.029702970297,0.00990099009901,0.00990099009901
USP24,0.00990099009901,0.029702970297,0.039603960396,0.019801980198,0.019801980198
XDH,0.049504950495,0.039603960396,0.049504950495,0.029702970297,0.029702970297
ZNF728,0.039603960396,0.029702970297,0.039603960396,0.039603960396,0.039603960396
