gene,Child_behav,Child_congenital,Child_craniofacial,Child_ID_DD,Child_nervous_system,Child_psych
ABCA4,0.029702970297,0.0891089108911,0.574257425743,0.376237623762,0.019801980198,0.485148514851
ADGRG1,0.594059405941,0.50495049505,0.346534653465,0.029702970297,0.594059405941,0.514851485149
ADRA1D,0.029702970297,0.455445544554,0.742574257426,0.445544554455,0.445544554455,0.148514851485
AFF3,0.366336633663,0.039603960396,0.50495049505,0.207920792079,0.019801980198,0.168316831683
AGRN,0.346534653465,0.0693069306931,0.029702970297,0.168316831683,0.19801980198,0.415841584158
AHNAK,0.544554455446,0.19801980198,0.029702970297,0.158415841584,0.316831683168,0.0594059405941
ANKRD20A4,0.019801980198,0.19801980198,0.693069306931,0.306930693069,0.049504950495,0.00990099009901
ANKRD36B,0.00990099009901,0.0891089108911,0.049504950495,0.0594059405941,0.0594059405941,0.0693069306931
ANKRD36C,0.405940594059,0.257425742574,0.019801980198,0.0891089108911,0.158415841584,0.831683168317
APBB3,0.217821782178,0.148514851485,0.019801980198,0.623762376238,0.138613861386,0.306930693069
AQP7,0.0693069306931,0.128712871287,0.00990099009901,0.257425742574,0.0990099009901,0.0594059405941
ARSD,0.00990099009901,0.128712871287,0.029702970297,0.188118811881,0.019801980198,0.0792079207921
ASB15,0.247524752475,0.019801980198,0.0990099009901,0.158415841584,0.178217821782,0.188118811881
ATG4D,0.0891089108911,0.108910891089,0.0594059405941,0.029702970297,0.108910891089,0.366336633663
BCL9,0.386138613861,0.366336633663,0.514851485149,0.376237623762,0.039603960396,0.306930693069
C7orf31,0.237623762376,0.039603960396,0.0990099009901,0.178217821782,0.00990099009901,0.118811881188
CACNA1H,0.0693069306931,0.019801980198,0.0792079207921,0.158415841584,0.019801980198,0.485148514851
CASKIN1,0.029702970297,0.0594059405941,0.356435643564,0.227722772277,0.138613861386,0.0693069306931
CCDC136,0.376237623762,0.346534653465,0.336633663366,0.00990099009901,0.29702970297,0.722772277228
CCDC157,0.039603960396,0.039603960396,0.029702970297,0.00990099009901,0.138613861386,0.0693069306931
CD276,0.821782178218,0.306930693069,0.277227722772,0.415841584158,0.019801980198,0.920792079208
CFAP157,0.50495049505,0.366336633663,0.019801980198,0.653465346535,0.455445544554,0.673267326733
CFAP221,0.712871287129,0.574257425743,0.039603960396,0.287128712871,0.207920792079,0.534653465347
CHTF18,0.752475247525,0.247524752475,0.0693069306931,0.554455445545,0.792079207921,0.019801980198
COL5A3,0.178217821782,0.0891089108911,0.019801980198,0.376237623762,0.0693069306931,0.158415841584
CORO1B,0.108910891089,0.039603960396,0.128712871287,0.029702970297,0.247524752475,0.188118811881
CROCC,0.0594059405941,0.158415841584,0.148514851485,0.0594059405941,0.019801980198,0.227722772277
DAAM2,0.0792079207921,0.039603960396,0.039603960396,0.039603960396,0.178217821782,0.108910891089
DOCK6,0.485148514851,0.247524752475,0.524752475248,0.118811881188,0.039603960396,0.910891089109
EPHA2,0.207920792079,0.029702970297,0.0990099009901,0.029702970297,0.029702970297,0.0990099009901
FGGY,0.188118811881,0.465346534653,0.237623762376,0.029702970297,0.0594059405941,0.524752475248
FOCAD,0.138613861386,0.039603960396,0.039603960396,0.188118811881,0.306930693069,0.128712871287
FRYL,0.673267326733,0.168316831683,0.376237623762,0.019801980198,0.336633663366,0.643564356436
FUK,0.178217821782,0.178217821782,0.029702970297,0.435643564356,0.039603960396,0.346534653465
FUT2,0.287128712871,0.019801980198,0.49504950495,0.0792079207921,0.0792079207921,0.306930693069
GBGT1,0.019801980198,0.0990099009901,0.643564356436,0.217821782178,0.118811881188,0.247524752475
GGA2,0.0693069306931,0.049504950495,0.0693069306931,0.00990099009901,0.019801980198,0.188118811881
GOLGA8M,0.257425742574,0.039603960396,0.514851485149,0.029702970297,0.029702970297,0.514851485149
GPAM,0.00990099009901,0.257425742574,0.138613861386,0.70297029703,0.138613861386,0.118811881188
GPATCH4,0.49504950495,0.207920792079,0.346534653465,0.029702970297,0.455445544554,0.49504950495
GPR179,0.108910891089,0.217821782178,0.465346534653,0.00990099009901,0.306930693069,0.277227722772
GRIN3B,0.217821782178,0.257425742574,0.138613861386,0.019801980198,0.60396039604,0.514851485149
HEATR5A,0.138613861386,0.0693069306931,0.217821782178,0.455445544554,0.019801980198,0.306930693069
HECTD4,0.178217821782,0.475247524752,0.039603960396,0.0693069306931,0.029702970297,0.782178217822
HMCN1,0.168316831683,0.00990099009901,0.0792079207921,0.039603960396,0.019801980198,0.0792079207921
HORMAD1,0.524752475248,0.316831683168,0.336633663366,0.366336633663,0.00990099009901,0.712871287129
HYAL3,0.544554455446,0.534653465347,0.029702970297,0.207920792079,0.534653465347,0.0792079207921
IGF1R,0.0792079207921,0.108910891089,0.534653465347,0.108910891089,0.029702970297,0.188118811881
IL1RAPL1,0.158415841584,0.19801980198,0.019801980198,0.108910891089,0.148514851485,0.158415841584
KIAA1549,0.485148514851,0.435643564356,0.247524752475,0.019801980198,0.128712871287,0.514851485149
KLF15,0.217821782178,0.019801980198,0.168316831683,0.108910891089,0.0990099009901,0.514851485149
KRT34,0.148514851485,0.237623762376,0.19801980198,0.0594059405941,0.029702970297,0.0891089108911
KRT72,0.108910891089,0.326732673267,0.475247524752,0.227722772277,0.029702970297,0.554455445545
LIG1,0.544554455446,0.118811881188,0.366336633663,0.0594059405941,0.039603960396,0.514851485149
LY6E,0.653465346535,0.049504950495,0.029702970297,0.178217821782,0.19801980198,0.683168316832
MCM3AP,0.0693069306931,0.029702970297,0.386138613861,0.227722772277,0.277227722772,0.0792079207921
MCM6,0.29702970297,0.039603960396,0.168316831683,0.049504950495,0.0990099009901,0.326732673267
MMP10,0.366336633663,0.237623762376,0.029702970297,0.257425742574,0.118811881188,0.39603960396
MPHOSPH10,0.0594059405941,0.029702970297,0.039603960396,0.128712871287,0.019801980198,0.118811881188
MTMR4,0.039603960396,0.138613861386,0.425742574257,0.405940594059,0.207920792079,0.415841584158
MYH14,0.425742574257,0.524752475248,0.158415841584,0.158415841584,0.00990099009901,0.643564356436
MYO15A,0.049504950495,0.168316831683,0.336633663366,0.405940594059,0.019801980198,0.0891089108911
MYO7B,0.049504950495,0.029702970297,0.0891089108911,0.029702970297,0.138613861386,0.039603960396
NEB,0.227722772277,0.762376237624,0.346534653465,0.386138613861,0.534653465347,0.019801980198
NLRC5,0.049504950495,0.0594059405941,0.0891089108911,0.029702970297,0.039603960396,0.0891089108911
PCLO,0.0990099009901,0.207920792079,0.188118811881,0.306930693069,0.019801980198,0.247524752475
PDE4DIP,0.00990099009901,0.00990099009901,0.019801980198,0.00990099009901,0.00990099009901,0.00990099009901
PGA3,0.049504950495,0.049504950495,0.178217821782,0.336633663366,0.128712871287,0.534653465347
PHKA2,0.029702970297,0.306930693069,0.50495049505,0.950495049505,0.29702970297,0.217821782178
PKHD1,0.00990099009901,0.019801980198,0.039603960396,0.00990099009901,0.019801980198,0.0990099009901
PROM2,0.019801980198,0.237623762376,0.168316831683,0.039603960396,0.019801980198,0.039603960396
PRR12,0.217821782178,0.0792079207921,0.178217821782,0.465346534653,0.029702970297,0.544554455446
PRSS3,0.0693069306931,0.207920792079,0.405940594059,0.019801980198,0.108910891089,0.514851485149
RBMXL1,0.346534653465,0.663366336634,0.019801980198,0.524752475248,0.168316831683,0.366336633663
RFX8,0.148514851485,0.138613861386,0.207920792079,0.029702970297,0.039603960396,0.148514851485
RYR3,0.029702970297,0.138613861386,0.039603960396,0.039603960396,0.029702970297,0.049504950495
SH3PXD2B,0.29702970297,0.336633663366,0.29702970297,0.49504950495,0.029702970297,0.693069306931
SLCO1B3,0.336633663366,0.277227722772,0.29702970297,0.118811881188,0.019801980198,0.722772277228
SPATA31A3,0.039603960396,0.049504950495,0.049504950495,0.029702970297,0.0792079207921,0.237623762376
SPG7,0.049504950495,0.039603960396,0.267326732673,0.247524752475,0.0594059405941,0.039603960396
SPTA1,0.108910891089,0.0594059405941,0.019801980198,0.306930693069,0.267326732673,0.574257425743
SPTBN2,0.257425742574,0.168316831683,0.485148514851,0.0693069306931,0.455445544554,0.019801980198
TAS2R19,0.277227722772,0.148514851485,0.029702970297,0.049504950495,0.287128712871,0.178217821782
TCAF1,0.306930693069,0.019801980198,0.039603960396,0.178217821782,0.029702970297,0.752475247525
TCF25,0.356435643564,0.0594059405941,0.425742574257,0.00990099009901,0.019801980198,0.366336633663
TENM4,0.029702970297,0.227722772277,0.306930693069,0.148514851485,0.039603960396,0.306930693069
TEP1,0.0693069306931,0.019801980198,0.227722772277,0.0693069306931,0.029702970297,0.138613861386
TIAM2,0.485148514851,0.376237623762,0.425742574257,0.217821782178,0.019801980198,0.782178217822
TMPRSS15,0.188118811881,0.514851485149,0.019801980198,0.108910891089,0.326732673267,0.514851485149
TNRC6A,0.0891089108911,0.207920792079,0.138613861386,0.039603960396,0.188118811881,0.0891089108911
TSHR,0.138613861386,0.247524752475,0.108910891089,0.029702970297,0.19801980198,0.158415841584
TUBB8,0.386138613861,0.029702970297,0.544554455446,0.336633663366,0.584158415842,0.267326732673
USP24,0.782178217822,0.227722772277,0.425742574257,0.376237623762,0.019801980198,0.722772277228
XDH,0.247524752475,0.871287128713,0.732673267327,0.316831683168,0.039603960396,0.316831683168
ZNF474,0.534653465347,0.0990099009901,0.029702970297,0.277227722772,0.366336633663,0.693069306931
ZNF728,0.0594059405941,0.0792079207921,0.168316831683,0.0990099009901,0.039603960396,0.306930693069
